[('Deletio;GEOMETRY
37;POLYGON ((628638.6047380216 5804633.67158904, 628781.7719190017 5804902.425273684, 628923.519155813 5804853.022495184, 628797.412940483 5804656.962914367, 628746.5409208615 5804577.871368905, 628638.6047380216 5804633.67158904))
38;POLYGON ((628781.7719190017 5804902.425273684, 628638.6047380216 5804633.67158904, 628505.6178493383 5804704.364122495, 628638.5588151014 5804954.250569428, 628781.7719190017 5804902.425273684))
39;POLYGON ((628638.5588151014 5804954.250569428, 628505.6178493383 5804704.364122495, 628389.428169959 5804764.978095089, 628449.3729459203 5804878.670315451, 628534.0524417262 5805039.521457127, 628638.5588151014 5804954.250569428))
40;POLYGON ((628896.924172749 5803534.515141911, 628896.4153249064 5803442.943552933, 628695.2091708041 5803481.976158419, 628606.9359088702 5803534.3827882195, 628606.1023884284 5803535.158618779, 628639.5037503376 5803553.2710947385, 628653.0215767734 5803569.407998065, 628782.9596757694 5803534.844787275, 628896.924172749 5803534.515141911))
41;POLYGON ((628896.4153249064 5803442.943552933, 628896.924172749 5803534.515141911, 628958.8302138469 5803579.943576082, 629035.4373766748 5803595.877309907, 629071.8351283618 5803550.639560632, 629082.9038213601 5803471.79103601, 629077.2841806677 5803407.85622783, 628896.4153249064 5803442.943552933))
42;POLYGON ((629088.3134128146 5803300.73019869, 629077.2841806677 5803407.85622783, 629082.9038213601 5803471.79103601, 629071.8351283618 5803550.639560632, 629035.4373766748 5803595.877309907, 629236.6495371738 5803588.380454856, 629289.5455297703 5803576.005518645, 629381.4899614031 5803538.548402481, 629423.6910685992 5803487.795152015, 629456.643398448 5803422.296537405, 629088.3134128146 5803300.73019869))
43;POLYGON ((629499.5515815362 5803282.088197923, 629098.4317076502 5803145.473424339, 629088.3134128146 5803300.73019869, 629456.643398448 5803422.296537405, 629499.5515815362 5803282.088197923))
44;POLYGON ((629098.4317076502 5803145.473424339, 629499.5515815362 5803282.088197923, 629556.666987215 5803095.455438458, 629111.3791010187 5802946.804563041, 629098.4317076502 5803145.473424339))
45;POLYGON ((628812.9674297054 5803005.50371771, 628849.8130390869 5803194.452438024, 629098.4317076502 5803145.473424339, 629111.3791010187 5802946.804563041, 628812.9674297054 5803005.50371771))
46;POLYGON ((628849.8130390869 5803194.452438024, 628878.3806243902 5803340.950930452, 629088.3134128146 5803300.73019869, 629098.4317076502 5803145.473424339, 628849.8130390869 5803194.452438024))
47;POLYGON ((628878.3806243902 5803340.950930452, 628891.3049260504 5803407.228657217, 628896.4153249064 5803442.943552933, 629077.2841806677 5803407.85622783, 629088.3134128146 5803300.73019869, 628878.3806243902 5803340.950930452))
48;POLYGON ((628896.4153249064 5803442.943552933, 628891.3049260504 5803407.228657217, 628878.3806243902 5803340.950930452, 628718.2990740556 5803371.620719906, 628558.5468398572 5803509.370791698, 628606.1023884284 5803535.158618779, 628606.9359088702 5803534.3827882195, 628695.2091708041 5803481.976158419, 628896.4153249064 5803442.943552933))
49;POLYGON ((628878.3806243902 5803340.950930452, 628849.8130390869 5803194.452438024, 628649.5280720777 5803234.21276774, 628648.964347751 5803234.7169542955, 628718.2990740556 5803371.620719906, 628878.3806243902 5803340.950930452))
50;POLYGON ((628849.8130390869 5803194.452438024, 628812.9674297054 5803005.50371771, 628558.2542780114 5803055.6071103485, 628648.964347751 5803234.7169542955, 628649.5280720777 5803234.21276774, 628849.8130390869 5803194.452438024))
51;POLYGON ((628312.0629278069 5803312.500456323, 628444.090585728 5803417.952854897, 628648.964347751 5803234.7169542955, 628558.2542780114 5803055.6071103485, 628312.0629278069 5803312.500456323))
52;POLYGON ((628444.090585728 5803417.952854897, 628558.5468398572 5803509.370791698, 628718.2990740556 5803371.620719906, 628648.964347751 5803234.7169542955, 628444.090585728 5803417.952854897))
53;POLYGON ((628653.0215767734 5803569.407998065, 628639.5037503376 5803553.2710947385, 628606.1023884284 5803535.158618779, 628558.5468398572 5803509.370791698, 628452.8117951421 5803594.198895136, 628454.6409588899 5803648.737759988, 628543.841700706 5803701.796422458, 628577.6749577402 5803661.361198909, 628653.0215767734 5803569.407998065))
54;POLYGON ((628558.5468398572 5803509.370791698, 628444.090585728 5803417.952854897, 628330.6482673199 5803519.413801666, 628452.8117951421 5803594.198895136, 628558.5468398572 5803509.370791698))
