ID;DEPARTURE;ORIGIN;DESTINATION;SERVICE
27021;08:01:13;631823.6550147767 5806620.6315706335;630247.6758216984 5807908.20494658;PersonalVehicle
35929;08:01:13;631913.9173730104 5808124.069404383;630016.2226552009 5806686.630689416;PersonalVehicle
2000;08:01:13;625495.2665135056 5806727.877555828;626457.5493388197 5804430.612746891;PersonalVehicle
3102;08:01:14;627483.6810719972 5804934.577677494;625646.8030724141 5806901.830403392;PersonalVehicle
19493;08:01:14;630106.2637542898 5802424.997425725;630213.5861772824 5802668.390269957;PersonalVehicle
3996;08:01:14;627004.8751968741 5803082.219577202;630846.0878003037 5802492.4168892745;PersonalVehicle
23788;08:01:14;632261.9376731712 5802319.982606364;630588.493228089 5803809.636311952;PersonalVehicle
16330;08:01:14;627385.8409925449 5801364.135851067;625506.3564786583 5800324.4571683705;PersonalVehicle
16762;08:01:15;628675.7961154685 5801130.076218291;630934.8564850392 5799856.190352573;PersonalVehicle
45152;08:01:15;625506.3564786583 5800324.4571683705;627544.7805338664 5800537.98672237;PersonalVehicle
33480;08:01:15;625506.3564786583 5800324.4571683705;628473.6500710658 5803098.063845298;PersonalVehicle
39990;08:01:15;627498.1724596496 5810012.366902584;625646.8030724141 5806901.830403392;PersonalVehicle
35901;08:01:15;627498.1724596496 5810012.366902584;630197.5087695468 5808225.647979776;PersonalVehicle
39357;08:01:16;627498.1724596496 5810012.366902584;625646.8030724141 5806901.830403392;PersonalVehicle
14269;08:01:16;629957.0089330123 5801973.021603307;632357.7464165204 5800288.209577048;PersonalVehicle
23934;08:01:16;632176.71669069 5801894.395501716;632357.7464165204 5800288.209577048;PersonalVehicle
36896;08:01:16;631913.9173730104 5808124.069404383;628796.318909859 5807659.528016352;PersonalVehicle
14028;08:01:16;628582.1650662138 5801500.654437066;630377.2935286161 5799276.878224155;PersonalVehicle
37474;08:01:16;631913.9173730104 5808124.069404383;629965.3964437387 5804616.69259505;PersonalVehicle
5722;08:01:17;626312.3353063447 5803313.3738436615;625495.2665135056 5806727.877555828;PersonalVehicle
21775;08:01:17;631598.6608951039 5804852.656214243;632562.9187772468 5804372.072875707;PersonalVehicle
17773;08:01:17;630068.0563013753 5801281.089356639;628035.0931699035 5802989.110398581;PersonalVehicle
12617;08:01:17;625506.3564786583 5800324.4571683705;627661.8805971734 5802127.015551341;PersonalVehicle
13595;08:01:18;628839.3435490531 5802195.059864911;630311.6526074877 5801154.261038382;PersonalVehicle
938;08:01:18;629913.0279237968 5802860.60021639;629052.2877411533 5802647.790678645;PersonalVehicle
20705;08:01:18;632615.2535813132 5803470.711504017;630588.493228089 5803809.636311952;PersonalVehicle
38640;08:01:18;627498.1724596496 5810012.366902584;625646.8030724141 5806901.830403392;PersonalVehicle
18999;08:01:18;630377.2935286161 5799276.878224155;627544.7805338664 5800537.98672237;PersonalVehicle
35916;08:01:19;627498.1724596496 5810012.366902584;630016.2226552009 5806686.630689416;PersonalVehicle
19914;08:01:19;630359.0188817185 5802350.053123291;630311.6526074877 5801154.261038382;PersonalVehicle
13171;08:01:19;627713.157596285 5800468.28673576;634266.520278123 5803737.794336154;PersonalVehicle
19707;08:01:19;630192.0312566726 5802577.731298228;625495.2665135056 5806727.877555828;PersonalVehicle
23286;08:01:19;630885.9521277299 5801677.862851588;633159.514814451 5802540.680358802;PersonalVehicle
47895;08:01:20;630377.2935286161 5799276.878224155;630965.684483718 5801683.091775081;PersonalVehicle
2279;08:01:20;625495.2665135056 5806727.877555828;626120.8361154031 5803972.223993571;PersonalVehicle
7154;08:01:20;625495.2665135056 5806727.877555828;630934.8564850392 5799856.190352573;PersonalVehicle
20471;08:01:21;631612.7148572693 5802919.275527309;625506.3564786583 5800324.4571683705;PersonalVehicle
39048;08:01:21;625495.2665135056 5806727.877555828;630016.2226552009 5806686.630689416;PersonalVehicle
4023;08:01:21;626733.330981286 5802871.445732469;628035.0931699035 5802989.110398581;PersonalVehicle
27860;08:01:22;629476.2265319712 5805831.418491034;630661.8394774082 5801017.504778628;PersonalVehicle
